Data;Abertura;Máxima;Mínima;Fechamento
04/11/2020;51,51;54,08;51,49;53,94
03/11/2020;51,8;52,3;50,56;50,97
30/10/2020;52,5;52,7;50,69;51,05
29/10/2020;50,7;53,49;50,38;52,98
28/10/2020;51,7;52,4;50,83;51,33
27/10/2020;54,9;55,23;52,68;52,75
26/10/2020;54,74;55,85;53,85;54,98
23/10/2020;56,1;56,2;54,56;54,8
22/10/2020;57,52;57,66;55,92;56,07
21/10/2020;57,58;58,5;57,12;57,37
20/10/2020;56,16;57,91;56,14;57,9
19/10/2020;54,55;56,96;54,5;56,14
16/10/2020;55,07;56,06;54,3;54,34
15/10/2020;55,06;55,97;54,71;55,61
14/10/2020;55,25;56,79;55,03;56,38
13/10/2020;55,05;55,28;54,22;54,8
09/10/2020;54,63;55,41;54,03;54,71
08/10/2020;53,99;55;53,69;54,85
07/10/2020;54,25;54,69;53,21;53,71
06/10/2020;56,25;56,46;53,41;53,76
05/10/2020;53,29;55,82;53,19;55,75
02/10/2020;54,15;55,41;53,06;53,26
01/10/2020;55,33;55,33;53,8;54,53
30/09/2020;54,2;55,56;53,99;55,01
29/09/2020;55,03;56,16;53,33;53,65
28/09/2020;58,18;58,27;54,56;55,01
25/09/2020;57,79;57,93;56,62;57,35
24/09/2020;54,99;58,42;54,93;58,2
23/09/2020;56,05;56,81;54,72;55,16
22/09/2020;55,37;57,03;55;56,61
21/09/2020;54,34;55,36;53,73;55,36
18/09/2020;55,42;57,14;54,78;55,39
17/09/2020;55,56;56,14;55,12;55,94
16/09/2020;56,81;57,12;56,19;56,27
15/09/2020;58,13;58,22;56,42;56,53
14/09/2020;56,1;58,08;55,89;57,96
11/09/2020;55,36;56,17;54,78;55,28
10/09/2020;57,53;57,53;55,12;55,26
09/09/2020;57;57,83;55,89;57,49
08/09/2020;56,36;57,35;55,67;56,29
04/09/2020;57,24;57,56;55,36;57,56
03/09/2020;59,41;59,87;55,56;57,06
02/09/2020;59,31;59,56;58,23;59,18
01/09/2020;58,56;59,5;58,48;59,26
31/08/2020;59,74;59,82;57,86;58,03
28/08/2020;59,71;60,54;59,31;60,22
27/08/2020;59,82;60,33;58,72;59,49
26/08/2020;60,79;61,98;58,54;59,71
25/08/2020;60,04;61,48;59,82;61,04
24/08/2020;60,66;60,75;58,21;60,1
21/08/2020;60,68;60,83;59,33;60,17
20/08/2020;57,39;61,6;57,12;61,52
19/08/2020;61,2;61,29;58,53;58,79
18/08/2020;58,87;61,3;58,42;60,99
17/08/2020;60,09;60,39;56,38;57,34
14/08/2020;59,66;61,32;59,53;59,77
13/08/2020;61,43;62,01;59,16;59,85
12/08/2020;60,4;61,91;59,61;60,69
11/08/2020;62,37;62,49;59,76;60,04
10/08/2020;61,78;62,12;58,87;61,43
07/08/2020;62,17;63,15;60,97;61,73
06/08/2020;62,73;63,7;62,1;63,21
05/08/2020;63,08;64,15;61,79;62,67
04/08/2020;62,17;63,45;61,26;62,39
03/08/2020;62,67;63,8;61,96;63,05
31/07/2020;64,48;64,48;61,87;62,61
30/07/2020;62,78;64,21;62,17;63,76
29/07/2020;64,64;64,76;63,02;63,78
28/07/2020;65,35;65,35;62,91;64,37
27/07/2020;64,54;66,01;64,4;65,36
24/07/2020;64,68;65,18;63,55;64,49
23/07/2020;66,35;66,61;63,95;64,66
22/07/2020;65,58;66,56;64,67;65,82
21/07/2020;67,26;68,83;64,62;65,26
20/07/2020;63,46;66,51;63,02;66,51
17/07/2020;61,33;63,21;60,91;63,05
16/07/2020;60,94;61,33;59,82;60,69
15/07/2020;61,28;61,47;60,47;61,08
14/07/2020;59,22;61,14;58,9;60,34
13/07/2020;59,56;60,75;58,82;59,1
10/07/2020;58,03;59,19;56,84;59,16
09/07/2020;60,17;60,17;57,67;58,12
08/07/2020;56,85;60,09;56,48;59,85
07/07/2020;55,81;56,84;55,51;56,42
06/07/2020;56,74;57,24;55,78;55,78
03/07/2020;55,65;55,78;55,1;55,76
02/07/2020;56,29;56,45;54,97;55,46
01/07/2020;54,73;56,17;54,44;55,29
30/06/2020;53,71;55,12;53,43;54,24
29/06/2020;52,99;54,12;52,61;54,12
26/06/2020;53,8;54,34;52,09;52,63
25/06/2020;51,99;54,22;51,83;54,15
24/06/2020;51,51;52,82;50,92;51,84
23/06/2020;50,05;51,83;49,87;51,48
22/06/2020;50,36;50,69;49,03;49,56
19/06/2020;50,26;50,39;49,37;50,22
18/06/2020;49,79;50,51;49,45;49,59
17/06/2020;49,22;50,7;48,94;50,41
16/06/2020;49,82;50,1;47,95;48,74
15/06/2020;48,25;49,18;47,66;48,75
12/06/2020;48,52;50,21;48,05;49,08
10/06/2020;50,81;50,91;49,57;49,96
09/06/2020;50,27;50,88;50,02;50,29
08/06/2020;48,59;51,02;48,59;50,93
05/06/2020;50,02;51,17;48,06;48,32
04/06/2020;47,57;49,07;47,17;48,82
03/06/2020;46,36;48,13;46,36;48,07
02/06/2020;45,29;45,96;44,87;45,75
01/06/2020;44,14;45,78;44,14;44,83
29/05/2020;45,29;45,69;43,93;44,85
28/05/2020;45,3;46,49;45,05;45,24
27/05/2020;46,66;46,77;45,26;45,87
26/05/2020;45,79;47,24;45,19;45,79
25/05/2020;44,46;46,12;44,32;45,79
22/05/2020;42,67;43,39;42,06;43,21
21/05/2020;40,45;42,95;40,18;42,95
20/05/2020;40,34;41,13;39,46;40,02
19/05/2020;40,67;41,91;40,09;40,09
18/05/2020;40,13;41,84;39,82;41,34
15/05/2020;38,4;39,85;37,88;38,93
14/05/2020;35,09;37,24;34,83;37,24
13/05/2020;35,89;36,98;35,51;35,6
