Data;Abertura;Máxima;Mínima;Fechamento
03/11/2020;51,8;56,88;50,56;56,62
09/10/2020;54,63;58,5;50,38;51,05
18/09/2020;55,42;58,42;53,06;54,85
27/08/2020;59,82;60,54;54,78;55,94
06/08/2020;62,73;63,7;56,38;59,71
16/07/2020;60,94;68,83;59,82;62,67
25/06/2020;51,99;61,47;51,83;61,08
03/06/2020;46,36;52,82;46,36;51,84
13/05/2020;35,89;47,24;34,83;45,75
20/04/2020;37,59;42,6;34,82;35,18
27/03/2020;36,1;40,85;32,65;38,92
06/03/2020;44,1;45,45;28,36;38,05
12/02/2020;47,41;51,9;43,38;45,66
22/01/2020;43,52;49,29;43,52;47,39
30/12/2019;42,53;44,69;41,22;43,32
05/12/2019;47,47;47,48;42,32;42,52
12/11/2019;47,61;48,48;44,07;47,5
22/10/2019;44,92;48,19;44,87;48,19
01/10/2019;42,2;45,1;40,87;45,1
10/09/2019;41,72;43,83;40,72;41,97
20/08/2019;43,66;44,31;39,97;41,87
30/07/2019;40,51;44,71;39,43;43,48
08/07/2019;38,6;41,09;37,69;40,73
14/06/2019;35,81;38,61;33,51;38,6
24/05/2019;32,93;36,54;32,25;35,83
03/05/2019;32,25;32,93;29,67;32,59
10/04/2019;30,52;33,27;28,66;32,17
20/03/2019;32,63;32,96;29,12;30,39
25/02/2019;31,46;32,81;29,06;32,75
04/02/2019;30,1;31,45;28,78;31,34
11/01/2019;26,7;30,78;26,67;30,16
17/12/2018;25,71;27,63;24,19;26,7
26/11/2018;24,86;27,39;24,39;25,66
31/10/2018;25,19;26,36;23,47;24,77
09/10/2018;23,2;24,86;22,28;24,77
18/09/2018;20,67;25,07;20,46;23,17
27/08/2018;19,78;20,94;19,26;20,62
06/08/2018;23,3;23,39;19,4;19,68
16/07/2018;22,18;23,37;21;23,25
22/06/2018;18,14;22,2;18;22,2
01/06/2018;20,3;21,3;17,47;18,07
10/05/2018;22,35;22,83;18,74;20,1
18/04/2018;23,83;24,55;21,8;22,22
27/03/2018;23,74;24,99;22,92;23,63
06/03/2018;24,3;25,14;23,24;23,62
09/02/2018;22,45;25,24;21,46;24,11
18/01/2018;22,03;24,9;22;22,51
