Data;Abertura;Máxima;Mínima;Fechamento
04/11/2020;22,54;22,64;21,11;21,34
03/11/2020;21,01;22,4;20,88;22,39
30/10/2020;20,92;21,2;20,31;20,54
29/10/2020;20,54;21,51;20,41;21,06
28/10/2020;21,03;21,37;20,54;20,67
27/10/2020;21,31;21,94;21,25;21,46
26/10/2020;21,41;21,48;20,92;21,23
23/10/2020;20,91;21,55;20,76;21,47
22/10/2020;20,88;21,43;20,85;20,92
21/10/2020;20,64;21,08;20,5;20,94
20/10/2020;20,09;20,82;19,53;20,68
19/10/2020;19,57;20,15;19,57;19,66
16/10/2020;20;20,22;19,03;19,53
15/10/2020;18,13;19,49;17,92;19,45
14/10/2020;18,46;18,79;18;18,4
13/10/2020;17,8;18,32;17,47;18,31
09/10/2020;17,89;18,28;17,53;17,76
08/10/2020;17,99;18,35;17,67;17,85
07/10/2020;17,78;18,34;17,73;18
06/10/2020;17,86;17,88;17,41;17,68
05/10/2020;16,94;17,73;16,86;17,72
02/10/2020;16,38;16,99;16,16;16,78
01/10/2020;16,51;16,85;16,25;16,54
30/09/2020;15,83;16,97;15,83;16,5
29/09/2020;15,63;15,94;15,23;15,32
28/09/2020;16,06;16,33;15,62;15,74
25/09/2020;15,69;15,91;15,39;15,91
24/09/2020;16,13;16,22;15,66;15,82
23/09/2020;16,81;16,95;16,11;16,11
22/09/2020;16,45;16,99;16,32;16,78
21/09/2020;16,2;17,26;15,97;16,23
18/09/2020;16,71;16,88;16,31;16,4
17/09/2020;16,07;16,77;16,05;16,73
16/09/2020;16,45;16,52;16,07;16,31
15/09/2020;16,38;16,74;16,14;16,59
14/09/2020;16,1;16,43;15,95;16,2
11/09/2020;15,4;16,32;15,37;16
10/09/2020;15,74;16,06;15,32;15,38
09/09/2020;15,1;15,9;15,1;15,81
08/09/2020;14,69;15,17;14,44;15,06
04/09/2020;14,98;15,19;14,57;14,97
03/09/2020;15,15;15,44;14,85;15,03
02/09/2020;15,5;15,83;14,85;15,26
01/09/2020;15,42;15,64;15,29;15,47
31/08/2020;14,99;15,77;14,9;15,21
28/08/2020;15,06;15,36;14,81;15,25
27/08/2020;14,65;15,09;14,5;14,95
26/08/2020;15,06;15,16;14,41;14,61
25/08/2020;14,59;14,97;14,21;14,84
24/08/2020;14,56;14,8;14,46;14,55
21/08/2020;14,72;14,78;14,21;14,48
20/08/2020;14,54;15,03;14,45;14,81
19/08/2020;14,91;15,27;14,82;14,89
18/08/2020;14,3;15;14,3;14,82
17/08/2020;13,63;14,04;13,62;13,94
14/08/2020;13,69;13,82;13,4;13,68
13/08/2020;13,77;13,92;13,55;13,69
12/08/2020;14;14,13;13,58;13,81
11/08/2020;14,04;14,15;13,76;13,92
10/08/2020;13,13;14,08;13,06;13,97
07/08/2020;12,88;13,22;12,76;12,95
06/08/2020;13,23;13,48;13,04;13,11
05/08/2020;13;13,39;12,93;13,12
04/08/2020;12,91;13;12,36;12,76
03/08/2020;12,53;13,23;12,46;13,02
31/07/2020;12,85;12,94;12,15;12,25
30/07/2020;12,7;13,25;12,65;12,78
29/07/2020;12,78;13,57;12,77;13
28/07/2020;12,14;12,44;12,01;12,3
27/07/2020;11,65;12,34;11,56;12,24
24/07/2020;11,51;11,72;11,32;11,61
23/07/2020;11,77;11,97;11,56;11,65
22/07/2020;11,67;11,85;11,57;11,81
21/07/2020;11,93;12,01;11,53;11,66
20/07/2020;11,9;11,93;11,78;11,87
17/07/2020;11,86;12,05;11,71;11,9
16/07/2020;11,81;11,92;11,59;11,69
15/07/2020;12,28;12,36;11,72;11,93
14/07/2020;11,79;12,19;11,43;12,19
13/07/2020;11,5;12,27;11,5;11,67
10/07/2020;11,1;11,23;11,05;11,23
09/07/2020;11,45;11,51;11,02;11,08
08/07/2020;11,17;11,47;11,08;11,36
07/07/2020;11,15;11,32;10,91;10,94
06/07/2020;10,92;11,33;10,85;11,2
03/07/2020;10,97;10,97;10,58;10,71
02/07/2020;10,8;11,07;10,72;10,86
01/07/2020;10,76;10,86;10,48;10,59
30/06/2020;10,49;10,86;10,38;10,68
29/06/2020;10,73;10,88;10,5;10,55
26/06/2020;11,05;11,27;10,63;10,71
25/06/2020;11,1;11,18;10,91;11,13
24/06/2020;11,45;11,45;11,01;11,08
23/06/2020;11,29;11,64;11,24;11,38
22/06/2020;11,15;11,27;10,97;11,12
19/06/2020;11,85;11,9;11,21;11,21
18/06/2020;11,1;11,65;10,95;11,65
17/06/2020;11,31;11,45;11,06;11,16
16/06/2020;11,19;11,56;10,9;11,3
15/06/2020;10,34;10,76;10,24;10,61
12/06/2020;10,9;11,19;10,66;10,87
10/06/2020;12,02;12,31;11,44;11,48
09/06/2020;12,07;12,12;11,6;12,05
08/06/2020;11,04;12,46;11,03;12,45
05/06/2020;11,1;11,2;10,48;10,63
04/06/2020;10,45;10,64;10,2;10,49
03/06/2020;10,97;11,26;10,47;10,6
02/06/2020;10,45;10,75;10,37;10,75
01/06/2020;10,55;10,79;10,21;10,35
29/05/2020;9,8;10,69;9,74;10,32
28/05/2020;9,5;9,82;9,21;9,61
27/05/2020;8,74;9,54;8,67;9,45
