Data;Abertura;Máxima;Mínima;Fechamento
04/11/2020;23,37;23,62;22,11;22,26
03/11/2020;22,26;23,35;21,98;23,18
30/10/2020;22,33;22,47;21,61;21,81
29/10/2020;22,24;22,87;21,33;22,5
28/10/2020;23,49;23,49;22,14;22,22
27/10/2020;23,11;24,06;23,06;23,61
26/10/2020;23,27;23,55;22,85;23,06
23/10/2020;23,05;23,45;22,82;23,28
22/10/2020;23,15;23,41;23;23,18
21/10/2020;23;23,32;22,88;23,06
20/10/2020;22,95;23,2;22,73;23
19/10/2020;23,01;23,59;22,48;22,75
16/10/2020;22,85;23,18;22,67;22,82
15/10/2020;21,84;22,83;21,66;22,67
14/10/2020;22,12;22,3;21,92;22,11
13/10/2020;21,89;22,16;21,58;21,98
09/10/2020;22,26;22,51;21,56;21,8
08/10/2020;22,44;22,89;22,05;22,25
07/10/2020;22,3;22,85;22,2;22,4
06/10/2020;22,03;22,16;21,46;21,7
05/10/2020;20,69;21,9;20,56;21,8
02/10/2020;20,58;20,92;20,29;20,6
01/10/2020;20,92;21,35;20,27;20,75
30/09/2020;20,47;21,32;20,44;20,8
29/09/2020;20,66;20,9;20,1;20,21
28/09/2020;20,68;21,05;20,34;20,54
25/09/2020;20,5;20,67;20,26;20,51
24/09/2020;20,69;20,91;20,43;20,68
23/09/2020;20,6;21,05;20,42;20,65
22/09/2020;20,66;21;20,5;20,72
21/09/2020;20,69;21,32;20,43;20,59
18/09/2020;21,38;21,77;20,8;20,96
17/09/2020;20,81;21,84;20,8;21,44
16/09/2020;21,42;21,45;20,88;21,19
15/09/2020;20,33;21,55;20,06;21,45
14/09/2020;20,15;20,32;19,89;20,28
11/09/2020;19,85;20,54;19,64;19,91
10/09/2020;20,53;20,78;19,8;19,85
09/09/2020;20,06;20,82;19,94;20,53
08/09/2020;19,73;19,88;19,3;19,69
04/09/2020;19,52;20,27;19,04;19,92
03/09/2020;19,66;20,05;19,12;19,38
02/09/2020;20,1;20,39;19,42;19,79
01/09/2020;19,25;20;19,16;20
31/08/2020;19,37;19,63;19,09;19,09
28/08/2020;19,35;19,6;19,1;19,6
27/08/2020;19,55;19,8;19,02;19,25
26/08/2020;19,44;20,15;19,22;19,54
25/08/2020;19,65;19,65;19,24;19,55
24/08/2020;19,7;19,88;19,5;19,57
21/08/2020;20,11;20,2;19,33;19,68
20/08/2020;19,61;20,4;19,52;20,27
19/08/2020;19,61;20,31;19,51;20,02
18/08/2020;18,4;19,7;18,19;19,49
17/08/2020;17,99;18,49;17,75;18,02
14/08/2020;17,85;17,99;17,59;17,99
13/08/2020;18,13;18,37;17,75;17,86
12/08/2020;18,21;18,59;17,75;18,11
11/08/2020;18,46;18,55;18,02;18,15
10/08/2020;17,7;18,32;17,64;18,26
07/08/2020;17,84;18,17;17,27;17,61
06/08/2020;18,55;18,62;17,92;18,06
05/08/2020;17,99;18,89;17,91;18,52
04/08/2020;17,4;17,73;17,04;17,48
03/08/2020;17,69;17,88;17,39;17,5
31/07/2020;17,69;17,82;17,32;17,45
30/07/2020;17,65;17,86;17,43;17,74
29/07/2020;17,82;18,12;17,74;17,99
28/07/2020;17,8;17,96;17,53;17,73
27/07/2020;17,22;17,98;17,2;17,84
24/07/2020;16,29;17,2;16,09;17,14
23/07/2020;16,77;16,93;16,22;16,39
22/07/2020;16,16;16,81;16,01;16,74
21/07/2020;16,39;16,43;15,86;16,15
20/07/2020;16,36;16,45;16,23;16,31
17/07/2020;16,3;16,51;16,16;16,31
16/07/2020;16,44;16,52;16,02;16,24
15/07/2020;16,86;16,96;16,33;16,55
14/07/2020;16,31;16,83;16,02;16,6
13/07/2020;16,45;17,11;16,15;16,26
10/07/2020;16,05;16,26;15,94;16,1
09/07/2020;16,03;16,19;15,69;16,05
08/07/2020;15,88;16,24;15,81;15,96
07/07/2020;16,06;16,15;15,62;15,77
06/07/2020;16,06;16,28;15,98;16,15
03/07/2020;15,79;15,86;15,59;15,71
02/07/2020;15,74;15,99;15,63;15,78
01/07/2020;15,85;16,15;15,22;15,48
30/06/2020;15,51;16,18;15,43;16,01
29/06/2020;15,41;15,69;15,14;15,69
26/06/2020;15,43;15,9;14,96;15,18
25/06/2020;15,84;15,9;15,3;15,66
24/06/2020;15,45;15,98;15,24;15,74
23/06/2020;15,63;16,27;15,39;15,51
22/06/2020;15,52;15,63;15,04;15,22
19/06/2020;15,63;16,41;15,36;15,45
18/06/2020;14,56;15,3;14,42;15,3
17/06/2020;14,85;15,03;14,51;14,72
16/06/2020;14,5;14,95;14,17;14,8
15/06/2020;13,3;13,74;13,13;13,55
12/06/2020;13,68;14,12;13,4;13,88
10/06/2020;15,11;15,25;14,25;14,34
09/06/2020;14,99;15,16;14,84;14,96
08/06/2020;15,45;15,76;15,2;15,5
05/06/2020;16,15;16,22;15,17;15,17
04/06/2020;15,22;15,62;15,02;15,36
03/06/2020;14,59;15,66;14,31;15,34
02/06/2020;13,96;14,53;13,8;14,36
01/06/2020;13,75;13,81;13,34;13,52
29/05/2020;13,61;13,91;12,99;13,43
28/05/2020;13,3;13,72;12,9;13,53
27/05/2020;12,15;13,36;12,09;13,26
26/05/2020;12,6;12,88;11,88;11,95
25/05/2020;12;12,37;11,91;12,36
22/05/2020;11,86;11,94;11,51;11,6
21/05/2020;11,94;12,24;11,58;12,05
20/05/2020;12,06;12,33;11,83;11,92
19/05/2020;11,95;12,25;11,73;11,8
18/05/2020;11,38;12,04;11,25;11,82
15/05/2020;11,6;11,74;10,92;10,92
14/05/2020;11,32;11,84;10,95;11,74
13/05/2020;12,37;12,37;11,45;11,63
12/05/2020;12,6;12,82;12,07;12,13
11/05/2020;12,87;13;12,45;12,5
08/05/2020;12,77;13,28;12,58;13
07/05/2020;11,85;12,65;11,68;12,45
06/05/2020;11,56;11,97;11,03;11,64
05/05/2020;11,66;11,98;11,43;11,51
04/05/2020;11,16;11,55;11,07;11,47
30/04/2020;12,12;12,12;11,62;11,74
29/04/2020;12,27;12,8;12,14;12,46
28/04/2020;11,95;12,12;11,59;11,98
27/04/2020;11,27;11,5;10,94;11,32
24/04/2020;11,76;12,11;10,75;10,93
23/04/2020;11,8;12,36;11,7;11,93
22/04/2020;11,89;12,11;11,65;11,7
20/04/2020;11,95;12,33;11,81;11,85
17/04/2020;11,8;12,5;11,8;12,3
16/04/2020;11,51;11,6;11,05;11,58
15/04/2020;11,12;11,47;10,87;11,31
14/04/2020;11,4;11,81;11,37;11,56
13/04/2020;10,63;11,25;10,34;11,23
09/04/2020;11,26;11,39;10,55;10,7
08/04/2020;10,33;11,25;10,21;11,05
07/04/2020;10,3;10,82;10,21;10,32
06/04/2020;9,8;10,18;9,48;9,7
03/04/2020;10,09;10,12;9,16;9,33
02/04/2020;9,9;10,3;9,6;10,04
01/04/2020;9,87;10,03;9,39;9,57
31/03/2020;9,91;10,71;9,91;10,05
30/03/2020;10,26;10,45;9,62;9,78
27/03/2020;10,24;10,73;10,08;10,1
26/03/2020;10,55;11,56;10,36;10,93
25/03/2020;9,54;10,72;9,48;10,52
24/03/2020;9,25;9,73;9,07;9,52
23/03/2020;9,25;9,41;8,46;8,64
20/03/2020;10,13;10,27;8,84;9,25
19/03/2020;8,8;10,42;8,16;9,59
18/03/2020;10;10,25;8,68;9,51
17/03/2020;11,11;11,5;10,21;10,82
16/03/2020;10,6;11,6;10,14;10,69
13/03/2020;12;12,75;10,3;12,45
12/03/2020;10,92;11,14;9,36;10,6
11/03/2020;13,8;13,94;11,71;12,69
10/03/2020;14,21;14,35;13,17;14,34
09/03/2020;14,76;14,83;13,12;13,25
06/03/2020;16,42;16,58;15,69;16,15
05/03/2020;17,9;18;16,79;17,43
04/03/2020;18;18,54;17,56;18,33
03/03/2020;17,31;17,97;16,97;17,46
02/03/2020;17;17,54;16,75;17,31
28/02/2020;16,87;17;16,12;16,9
27/02/2020;16,92;17,59;16,66;17,06
26/02/2020;17,92;18,06;16,91;17,07
21/02/2020;19,37;19,44;18,82;19,07
20/02/2020;20,36;20,46;19,39;19,5
19/02/2020;20,09;20,79;19,44;20,39
18/02/2020;20,46;20,55;20,02;20,48
17/02/2020;20,65;20,76;20,23;20,66
14/02/2020;20,99;21,02;20,16;20,46
13/02/2020;20,96;21,24;20,58;21,14
12/02/2020;21,31;21,62;21,01;21,24
11/02/2020;20,26;21,23;20,03;21,05
10/02/2020;20,21;20,59;19,74;19,89
07/02/2020;21,16;21,29;20,21;20,21
06/02/2020;21,67;22,25;21,2;21,2
05/02/2020;21,62;21,84;21,36;21,36
04/02/2020;20,91;21,39;20,9;21,39
03/02/2020;20,01;20,55;19,72;20,51
31/01/2020;20,36;20,54;19,97;20,01
30/01/2020;19,66;20,75;19,57;20,7
29/01/2020;20,41;20,44;19,86;20,1
28/01/2020;20,16;20,6;20,06;20,16
27/01/2020;20,52;20,77;19,91;19,91
24/01/2020;22,16;22,5;21,51;21,63
23/01/2020;21,75;22,31;21,43;22,12
22/01/2020;21,96;22,05;21,44;22,03
21/01/2020;22,06;22,22;21,57;21,76
20/01/2020;21,49;22,31;21,35;22,23
17/01/2020;21,35;21,63;21,14;21,53
16/01/2020;21,11;21,34;20,84;21,26
15/01/2020;21,39;21,84;20,85;21,06
14/01/2020;21,77;22,12;21,26;21,38
13/01/2020;21,18;21,98;21,16;21,8
10/01/2020;20,67;21,17;20,63;20,9
09/01/2020;20,76;20,83;20,3;20,62
08/01/2020;20,57;20,9;20,47;20,73
07/01/2020;20,39;20,71;20,09;20,65
06/01/2020;20,26;20,37;19,79;20,33
03/01/2020;20,21;20,55;19,94;20,38
02/01/2020;20,09;20,75;20,08;20,72
30/12/2019;19,87;20,11;19,72;19,96
27/12/2019;19,89;19,96;19,58;19,84
26/12/2019;19,43;19,85;19,23;19,85
23/12/2019;19,18;19,43;18,98;19,43
20/12/2019;18,35;19,16;18,33;19,12
19/12/2019;18,05;18,44;17,98;18,24
18/12/2019;18,01;18,16;17,7;17,8
17/12/2019;18,12;18,37;17,87;17,99
16/12/2019;18,47;18,65;18,02;18,08
13/12/2019;17,97;18,46;17,67;18,46
12/12/2019;17,6;17,97;17,53;17,88
11/12/2019;17,66;17,78;17,48;17,57
10/12/2019;17,17;17,84;17,03;17,64
09/12/2019;17,74;17,85;17,15;17,15
06/12/2019;17,19;17,84;17,1;17,57
05/12/2019;17,22;17,33;17,07;17,27
04/12/2019;17,12;17,34;16,99;17,23
03/12/2019;17,39;17,41;16,93;17,02
02/12/2019;16,73;17,42;16,6;17,42
29/11/2019;17,14;17,21;16,78;16,97
28/11/2019;17,36;17,55;16,99;17,14
27/11/2019;17,28;17,5;16,91;17,39
26/11/2019;16,66;17,29;16,52;17,23
25/11/2019;16,66;17,34;16,66;16,77
22/11/2019;16,32;16,79;16,19;16,66
21/11/2019;15,28;16,49;15,28;16,42
19/11/2019;15,29;15,44;15,04;15,27
18/11/2019;15,51;15,61;15,02;15,23
