Data;Abertura;Máxima;Mínima;Fechamento
04/11/2020;95991,57;98086,87;95987,42;97836,63
03/11/2020;93967,64;96350,23;93967,64;95979,71
30/10/2020;96578,75;96578,75;93559,19;93952,4
29/10/2020;95368,43;96688,25;93386,55;96582,16
28/10/2020;99597,75;99597,75;95368,76;95368,76
27/10/2020;101017,38;101660,37;99413,93;99605,54
26/10/2020;101259,86;101783,79;99761,84;101016,96
23/10/2020;101917,73;102217,62;101188,38;101259,75
22/10/2020;100552,99;102020,44;100456,83;101917,73
21/10/2020;100541,25;101585,92;100148,97;100552,44
20/10/2020;98663,89;100721,83;98663,89;100539,83
19/10/2020;98310,35;99917,22;98309,8;98657,65
16/10/2020;99054,06;99171,96;98309,12;98309,12
15/10/2020;99328,02;99485,5;97778,26;99054,06
14/10/2020;98501,58;99570,8;98501,44;99334,43
13/10/2020;97483,49;98998,47;97336,3;98502,82
09/10/2020;97924,18;98641,91;97161,37;97483,31
08/10/2020;95529,57;97937,72;95529,57;97919,73
07/10/2020;95615,82;96379,57;94880,65;95526,26
06/10/2020;96091,15;97404,54;95211,05;95615,03
05/10/2020;94019,37;96414,17;93984,23;96089,19
02/10/2020;95474,63;95995,7;93896,61;94015,68
01/10/2020;94604,15;95486,33;93599,05;95478,52
30/09/2020;93585,84;95340,12;93584,12;94603,38
29/09/2020;94664,72;95504,78;93408,17;93580,35
28/09/2020;97005,38;98313,73;94370,6;94666,37
25/09/2020;97011,44;97011,8;95631,74;96999,38
24/09/2020;95735,09;97954,63;95652,56;97012,07
23/09/2020;97294,37;97388,94;95728,13;95734,82
22/09/2020;96994,52;97684,16;96390,28;97293,54
21/09/2020;98282,75;98282,75;95820,34;96990,72
18/09/2020;100097,73;100101,91;98044,81;98289,71
17/09/2020;99673,77;100250,88;98561,51;100097,83
16/09/2020;100298,86;100663,36;99663,02;99675,68
15/09/2020;100277;100949,43;99646,81;100297,91
14/09/2020;98366,62;100519,8;98366,62;100274,52
11/09/2020;98839,08;99434,74;97757,9;98363,22
10/09/2020;101291,31;101536,48;98686,55;98834,59
09/09/2020;100050,43;101578,01;100050,43;101292,05
08/09/2020;101239,34;101239,34;99372,98;100050,43
04/09/2020;100733,12;101581,77;98960,5;101241,73
03/09/2020;101910,94;103225,58;99750,8;100721,36
02/09/2020;102168,42;102823,88;100871,79;101911,13
01/09/2020;99382,02;102237,93;99382,02;102167,65
31/08/2020;102141,53;102141,62;99369,15;99369,15
28/08/2020;100631,21;102347,05;100631,21;102142,93
27/08/2020;100624,98;101547,82;99856,91;100623,64
26/08/2020;102118,76;102521,38;99359,36;100627,33
25/08/2020;102292,87;102708,36;101623,31;102117,64
24/08/2020;101525,44;102514,87;101525,2;102297,95
21/08/2020;101459,55;101565,8;100412,45;101521,29
20/08/2020;100852,94;101749,1;99131,4;101467,87
19/08/2020;102072,16;102333,79;100800,41;100853,72
18/08/2020;99597,01;102247,3;99597,01;102065,35
17/08/2020;101348,15;101688,98;98513,34;99595,41
14/08/2020;100469,44;101717,34;100444,74;101353,45
13/08/2020;102118,28;103236,93;100187,06;100460,6
12/08/2020;102175,95;103116,11;100697,78;102117,79
11/08/2020;103448,75;104408,92;102174,26;102174,4
10/08/2020;102776,02;103722,49;101282,05;103444,48
07/08/2020;104116,04;104126,3;101956,5;102775,55
06/08/2020;102794,76;104523,28;102794,76;104125,64
05/08/2020;101219,98;103762,66;101219,98;102801,76
04/08/2020;102825,55;103011,5;100004,5;101215,87
03/08/2020;102912,87;103863,33;102304,26;102829,96
31/07/2020;105009,99;105462,13;102642,04;102912,24
30/07/2020;105605,17;105606,79;103919,94;105008,7
29/07/2020;104111,75;105703,62;104111,75;105605,17
28/07/2020;104477,08;104662,83;103591,8;104109,07
27/07/2020;102380,85;104584,52;102380,55;104477,08
24/07/2020;102291,82;102693,74;100858,76;102381,58
23/07/2020;104291,24;104949,4;102118,54;102293,31
22/07/2020;104311,59;104979,95;103277,01;104289,57
21/07/2020;104426,49;105449,23;103732,33;104309,74
20/07/2020;102887,6;104438,58;102744,25;104426,37
17/07/2020;100554,09;103016,6;100554,09;102888,25
16/07/2020;101791,01;101792,33;100160,18;100553,27
15/07/2020;100444,28;102113,51;100444,28;101790,54
14/07/2020;98698,88;100632,06;98288,81;100440,23
13/07/2020;100027,4;100857,68;98697,06;98697,06
10/07/2020;99160,17;100100,98;98738,66;100031,83
09/07/2020;99770,32;100191,24;98860,83;99160,33
08/07/2020;97764,95;99972,78;97764,95;99769,88
07/07/2020;98937,4;98938;97272,02;97761,04
06/07/2020;96775,74;99256,85;96767,64;98937,16
03/07/2020;96236,97;96764,87;95803,32;96764,85
02/07/2020;96205,58;97864,16;96051,85;96234,96
01/07/2020;95061,62;96851,75;95061,62;96203,2
30/06/2020;95727,6;96257,3;94806,47;95055,82
29/06/2020;93836,94;95735,35;93825,27;95735,35
26/06/2020;95979,03;95979,03;93513,7;93834,49
25/06/2020;94382,05;96259,7;94151,83;95983,09
24/06/2020;95973,81;95973,81;93259,07;94377,36
23/06/2020;95343,52;97485,59;95343,52;95975,16
22/06/2020;96572,24;96870,44;94868,81;95335,96
19/06/2020;96137,89;97540,33;95874,3;96572,1
18/06/2020;95547,2;97109,54;94697,53;96125,24
17/06/2020;93531,17;96611,4;93531,17;95547,29
16/06/2020;92386,66;95215,56;92386,66;93531,17
15/06/2020;92780,35;93111,62;90147,92;92375,52
12/06/2020;94677,14;94703,26;90810,98;92795,27
10/06/2020;96747,32;97645,85;94664,81;94685,98
09/06/2020;97644,34;97644,34;95385,81;96746,55
08/06/2020;94640,43;97693,47;94635,19;97644,67
05/06/2020;93839,16;97355,75;93838,6;94637,06
04/06/2020;92992,63;94132,3;92220,8;93828,61
03/06/2020;91048,1;93710,05;91048,1;93002,14
02/06/2020;88622,49;91046,49;88622,49;91046,38
01/06/2020;87395,15;89019,37;86836,57;88620,1
29/05/2020;86951,32;87410,03;85384,29;87402,59
28/05/2020;87946,1;88090,67;86766,92;86949,09
27/05/2020;85467,5;87946,25;85467,5;87946,25
26/05/2020;85667,5;87332,53;85395,71;85468,91
25/05/2020;82197,76;85875,6;82193,33;85663,48
22/05/2020;83027,09;83027,09;81668,8;82173,21
21/05/2020;81319,73;83308,96;81317,11;83027,09
20/05/2020;80746,81;82290,49;80739,61;81319,45
19/05/2020;81196,69;82174,55;80647,02;80742,35
18/05/2020;77575,71;81420,37;77571,39;81194,29
15/05/2020;79010,59;79538,23;77426,1;77556,62
14/05/2020;77770,48;79010,81;75696,95;79010,81
13/05/2020;77876,88;78911,28;77151,98;77772,2
12/05/2020;79064,6;80344,03;77871,95;77871,95
11/05/2020;80263,42;80722,75;78993,75;79064,6
08/05/2020;78151,87;80556,62;78151,87;80263,35
07/05/2020;79072,28;80061,19;78061,44;78118,57
06/05/2020;79472,78;79996,04;78055,82;79063,68
05/05/2020;78887,12;81065,9;78886,34;79470,78
04/05/2020;80501,17;80501,65;77640,22;78876,22
30/04/2020;83169,34;83169,34;80168,06;80505,89
29/04/2020;81312,89;83598,01;81312,89;83170,8
28/04/2020;78243,32;81427,32;78243,32;81312,23
27/04/2020;75334,28;78562,71;75326,58;78238,6
24/04/2020;79666,62;79666,62;72040,82;75330,61
23/04/2020;80690,35;81933,5;78621,92;79673,3
22/04/2020;78972,83;81183,73;78972,76;80687,15
20/04/2020;78988,64;80105,99;76942,89;78972,76
17/04/2020;77817,46;79846,43;77754,45;78990,29
16/04/2020;78836,72;80167,22;77452,36;77811,85
15/04/2020;79911,33;80034,78;77545,67;78831,46
14/04/2020;78847,67;81667,81;78847,67;79918,36
13/04/2020;77681,94;78835,82;76405,36;78835,82
09/04/2020;78639,74;80427,6;77456,86;77681,94
08/04/2020;76334,79;79058,13;76115,19;78624,62
07/04/2020;74078,01;79855,48;74078,01;76358,09
06/04/2020;69555,61;75259,7;69555,61;74072,98
03/04/2020;72241,09;72241,09;67802,47;69537,56
02/04/2020;70968,53;73861;70956,84;72253,46
01/04/2020;73010,78;73010,78;69568,56;70966,7
31/03/2020;74629,42;75511,03;72385,14;73019,76
30/03/2020;73430,65;75429,74;73184,22;74639,48
27/03/2020;77707,88;77707,88;73057,12;73428,78
26/03/2020;74956,05;78846,34;74923,27;77709,66
25/03/2020;69727,12;76713,93;69359,58;74955,57
24/03/2020;63604,42;71535,44;63604,42;69729,3
23/03/2020;67067,03;67603,83;62161,38;63569,62
20/03/2020;68344,38;72247,43;66120,06;67069,36
19/03/2020;66882,8;70071,33;61690,53;68331,8
18/03/2020;74576,38;74576,38;63546,74;66894,95
17/03/2020;71177,56;77254,59;70782,5;74617,24
16/03/2020;82564,88;82564,88;70854,82;71168,05
13/03/2020;72621,49;83757,51;72621,49;82677,91
12/03/2020;85103,19;85103,19;68488,29;72582,53
11/03/2020;92202,15;92202,15;80795,5;85171,13
10/03/2020;86070,96;92230,27;86070,96;92214,47
09/03/2020;97982,08;97982,08;85879,64;86067,2
06/03/2020;102230,5;102230,5;96885,83;97996,77
05/03/2020;107216,56;107216,56;100536,15;102233,24
04/03/2020;105540,27;107808,91;105042,11;107224,22
03/03/2020;106630,34;108803,58;104404,82;105537,14
02/03/2020;104259,51;107220,02;103779,26;106625,41
28/02/2020;102983,54;104171,57;99950,96;104171,57
27/02/2020;105710,7;106656,32;102983,54;102983,54
26/02/2020;113646,53;113646,53;105052,8;105718,29
21/02/2020;114584,97;114584,97;112661,31;113681,42
20/02/2020;116517,59;116552,46;114379,14;114586,24
19/02/2020;114981,9;116545,32;114774,04;116517,59
18/02/2020;115309,22;115309,22;113532,04;114977,29
17/02/2020;114381,36;115696,35;114381,36;115309,08
14/02/2020;115662,73;115662,73;114132,37;114380,71
13/02/2020;116659,69;116659,69;114800,64;115662,4
12/02/2020;115371,2;117580,93;115371,2;116674,13
11/02/2020;112573,78;115576,21;112573,78;115370,61
10/02/2020;113771,35;114176,46;112134,4;112570,3
07/02/2020;115189,97;115189,97;113769,14;113770,29
06/02/2020;116033,22;117381,83;114722,68;115189,97
05/02/2020;115562,65;117700,53;115562,34;116028,27
04/02/2020;114630,58;116555,61;114630,58;115556,71
03/02/2020;113760,57;115299,47;113467,4;114629,21
31/01/2020;115518,2;115518,2;113148,36;113760,57
30/01/2020;115374,99;115528,04;112825,49;115528,04
29/01/2020;116494,45;117171,28;115163,75;115384,84
28/01/2020;114482,37;116796,7;114474,61;116478,98
27/01/2020;118346,72;118346,72;114375,58;114481,84
24/01/2020;119527,63;119593,1;118108,3;118376,36
23/01/2020;118391,45;119534,8;116905,95;119527,63
22/01/2020;117035,48;118400,98;117035,48;118391,36
21/01/2020;118860,85;118860,85;117026,04;117026,04
20/01/2020;118478,38;118861,63;117927,53;118861,63
17/01/2020;116709,91;118478,95;116709,91;118478,3
16/01/2020;116414,88;117105,58;115961,42;116704,21
15/01/2020;117632,4;117632,4;116188,11;116414,35
14/01/2020;117325,08;117705,16;116609,75;117632,4
13/01/2020;115502,53;117333,11;115502,53;117325,28
10/01/2020;115947,76;116744,9;114952,34;115503,42
09/01/2020;116247,52;116820,04;115410,67;115947,11
08/01/2020;116667,32;117334,82;115693,02;116247,03
07/01/2020;116871,73;117075,85;115965,38;116661,94
06/01/2020;117706,66;117706,66;116268,69;116877,92
03/01/2020;118564,44;118791,86;117340,57;117706,66
02/01/2020;115651,95;118573,1;115648,97;118573,1
30/12/2019;116530,28;117085,94;115599,16;115645,34
27/12/2019;117205,09;117802,86;115995,12;116533,98
26/12/2019;115864,38;117219,91;115672,53;117203,2
23/12/2019;115118,96;115863,29;114964,34;115863,29
20/12/2019;115133,12;115170,58;114525,95;115121,08
19/12/2019;114313,35;115132,01;113712,39;115131,25
18/12/2019;112618,25;114338,51;112299,9;114314,65
17/12/2019;111896,54;112695,34;111896,54;112615,66
16/12/2019;112565,28;113196,83;111896,04;111896,04
13/12/2019;112204,76;112829,31;111779,96;112564,86
12/12/2019;110963,08;112444,74;110963,08;112199,74
11/12/2019;110672,07;111226,71;110529,5;110963,87
10/12/2019;110973,03;111184,37;110132,84;110672,01
09/12/2019;111125,1;111453,05;110869,87;110977,23
06/12/2019;110622,92;111429,66;110622,92;111125,75
05/12/2019;110297,33;111072,8;110007,67;110622,27
04/12/2019;108961,96;110300,93;108961,96;110300,93
03/12/2019;108930,97;109197,77;108190,46;108956,02
02/12/2019;108233,28;109278,67;108233,28;108927,83
29/11/2019;108290,09;108707,55;107759,39;108233,28
28/11/2019;107707,75;108333,02;107148,02;108290,09
27/11/2019;107059,4;107991,15;106312,21;107707,75
26/11/2019;108423,93;108423,93;106413,93;107059,4
25/11/2019;108692,28;108914,73;108079,87;108423,93
22/11/2019;107496,51;108692,28;107156,64;108692,28
21/11/2019;105866,12;107496,73;105864,47;107496,73
19/11/2019;106268,82;106949,81;105366,68;105864,18
18/11/2019;106566,04;107519,18;106246,06;106269,25
14/11/2019;106052,39;106757,61;105820,37;106556,88
13/11/2019;106751,11;106785,79;105260,78;106059,95
12/11/2019;108367,8;108367,8;106232,45;106751,11
11/11/2019;107621,72;108367,44;106813,53;108367,44
08/11/2019;109572,16;109572,16;107126,65;107628,98
07/11/2019;108360,22;109671,91;108360,22;109580,57
06/11/2019;108719,02;109633,14;107445,54;108360,22
05/11/2019;108778,78;109342,86;108252,78;108719,02
04/11/2019;108195,72;109352,13;108195,72;108779,33
01/11/2019;107220,94;108496,08;107220,43;108195,63
31/10/2019;108403,12;108403,12;106355,82;107219,83
30/10/2019;107557,11;108407,54;106622,01;108407,54
29/10/2019;108189,32;108195,22;107313,05;107556,26
28/10/2019;107365,66;108392,72;107362,47;108187,06
25/10/2019;106989,54;108083,26;106989,54;107363,77
24/10/2019;107552,72;107744,08;106592,72;106986,15
23/10/2019;107381,11;107958,82;107040,79;107543,59
22/10/2019;106022,71;107420,73;105927,32;107381,11
21/10/2019;104728,89;106026,91;104695,52;106022,28
18/10/2019;105011,71;105464,25;104524,97;104728,89
17/10/2019;105388,63;105891,19;104826,61;105015,77
16/10/2019;104485,87;105462,07;103521,08;105422,8
15/10/2019;104298,53;105047,62;104052,48;104489,56
14/10/2019;103833,59;104304,85;103438,47;104301,58
11/10/2019;101818,6;104380,89;101818,6;103831,92
10/10/2019;101243,74;102482,98;101152,12;101817,13
09/10/2019;100005,44;101566,59;100005,44;101248,78
08/10/2019;100564,6;101296,28;99867,59;99981,4
07/10/2019;102546,02;102546,02;100541,89;100572,77
04/10/2019;101516,04;102579,55;101057,36;102551,32
03/10/2019;101031,44;101560,23;99826,3;101516,04
02/10/2019;104049,12;104049,12;100943,82;101031,44
01/10/2019;104745,06;105121,16;103837,47;104053,4
30/09/2019;105077,45;105177,5;104638,18;104745,32
27/09/2019;105319,4;105632,94;104505,69;105077,63
26/09/2019;104485,18;105342,3;104337,39;105319,4
25/09/2019;103856,87;104480,98;103033,84;104480,98
24/09/2019;104637,51;104892,9;103503,53;103875,66
23/09/2019;104817,39;104817,39;104019,5;104637,82
20/09/2019;104339,16;105044,5;103913,5;104817,4
19/09/2019;104555,31;106001,35;104285,83;104339,16
18/09/2019;104616,28;104761,84;103684,12;104531,93
17/09/2019;103679,69;104618,93;103078,89;104616,86
16/09/2019;103495,52;104004,61;102782,33;103680,41
13/09/2019;104371,1;104699,2;103274,91;103501,18
12/09/2019;103452,52;104618,01;103452,52;104370,91
11/09/2019;103035,89;104155,86;103035,89;103445,6
10/09/2019;103179,94;103503,45;102230,73;103031,5
09/09/2019;102936,68;104259,77;102792,78;103180,59
06/09/2019;102246,83;103181,64;102245,98;102935,43
05/09/2019;101203,84;103258,48;101203,84;102243
04/09/2019;99705,69;101200,89;99705,69;101200,89
03/09/2019;100626,38;101416,66;99406,15;99680,83
02/09/2019;101132,51;101611,02;100625,74;100625,74
30/08/2019;100526,27;101551,35;100526,27;101134,61
29/08/2019;98194,11;100683,87;98194,11;100524,43
28/08/2019;97273,35;98346,03;96557,06;98193,53
27/08/2019;96434,3;97950,98;95855,3;97276,19
26/08/2019;97686,54;98435,96;95960,74;96429,6
23/08/2019;100007,25;100024,83;97085,21;97667,49
22/08/2019;101209,02;101469,05;100011,28;100011,28
21/08/2019;99227,12;101240,13;99221,27;101201,9
20/08/2019;99471,93;99664,75;98002,03;99222,25
19/08/2019;99809,52;100947,6;98908,19;99468,67
16/08/2019;99059,12;100566,93;99059,12;99805,78
15/08/2019;100262,03;101014,41;98200,36;99056,91
14/08/2019;103270,08;103270,08;99954,75;100258,01
13/08/2019;101912,15;103778,22;101414,44;103299,47
12/08/2019;103945,84;103945,84;101621,22;101915,22
09/08/2019;104101,95;104848,18;103546,67;103996,16
08/08/2019;102782,37;104281,89;102782,37;104115,23
07/08/2019;102163,25;102784,21;100476,12;102782,37
06/08/2019;100097,51;102178,08;100097,51;102163,69
05/08/2019;102657,77;102657,77;99630,09;100097,75
02/08/2019;102122,39;103179,66;101667,02;102673,68
01/08/2019;101818,93;104055,69;101818,93;102125,94
31/07/2019;102945,65;103128,7;100950,36;101812,13
30/07/2019;103482,87;103554,99;102596,13;102932,76
29/07/2019;102817,42;103482,63;102460,82;103482,63
26/07/2019;102653,9;103209,05;102196,31;102818,93
25/07/2019;104118,8;104439,7;102390,47;102654,58
24/07/2019;103706,64;104570,36;103706,64;104119,54
23/07/2019;103949,46;104429,57;103518,2;103704,28
22/07/2019;103451,93;104278,14;103451,93;103949,46
19/07/2019;104716,41;104722,64;103387,84;103451,93
18/07/2019;103859,36;104773,05;103859,36;104716,59
17/07/2019;103775,14;104453,09;103711,71;103855,53
16/07/2019;103805,39;104439,98;103361,08;103775,41
15/07/2019;103909,11;104577,91;103494,84;103802,69
12/07/2019;105157,57;105730,54;103903,06;103905,99
11/07/2019;105818,26;105885,5;104813,51;105146,44
10/07/2019;104536,7;106650,12;104536,7;105817,06
08/07/2019;104090,14;104679,3;103987,99;104530,22
05/07/2019;103628,28;104175,9;102621,7;104089,47
04/07/2019;102046,55;104021,6;102046,55;103636,17
03/07/2019;100576,27;102176,96;100451,36;102043,11
02/07/2019;101342,31;101564,53;100072,77;100605,17
01/07/2019;100973,48;102431,61;100973,48;101339,68
28/06/2019;100726,43;101562,52;100726,43;100967,2
27/06/2019;100688,63;101024,95;99420,64;100723,97
26/06/2019;100094,59;101126,24;100094,59;100688,63
25/06/2019;102061,44;102061,44;99890,22;100092,95
24/06/2019;102017,56;102617,31;101588,92;102062,33
21/06/2019;100304,79;102099,65;100304,79;102012,64
19/06/2019;99403,24;100327,15;98977,84;100303,41
18/06/2019;97633,36;99411,78;97633,36;99404,39
17/06/2019;98037,52;98439,36;97622,65;97623,25
14/06/2019;98775,72;98980,83;97600,83;98040,06
13/06/2019;98321,11;99364,48;98321,11;98773,7
12/06/2019;98959,59;99239,5;97831;98320,88
11/06/2019;97466,69;98984,6;97466,69;98960
10/06/2019;97827,62;97856;96782,23;97466,69
07/06/2019;97204,85;98325,57;97204,85;97821,26
06/06/2019;96001,79;97461,97;96001,79;97204,85
05/06/2019;97381,37;97686,14;95685,84;95998,75
04/06/2019;97020,1;97722,88;96593,43;97380,28
03/06/2019;97035,78;97756,75;96429,88;97020,48
31/05/2019;97419,73;97992,31;96792,4;97030,32
30/05/2019;96565,54;97939,08;96510,53;97457,36
29/05/2019;96388,66;96985,83;95689,78;96566,55
28/05/2019;94863,04;96551,8;94706,7;96392,76
27/05/2019;93625,7;95444,04;93625,7;94864,25
24/05/2019;93912,05;94899,52;93545,46;93627,8
23/05/2019;94360,1;94546,68;93299,97;93910,03
22/05/2019;94485,43;95211,75;93882,56;94360,66
21/05/2019;91945,56;94572,55;91945,56;94484,63
20/05/2019;90005,81;92116,51;89822,25;91946,19
17/05/2019;90023,41;91320,54;89408,93;89992,73
16/05/2019;91621,82;91621,82;89778,11;90024,47
15/05/2019;92087,83;92087,83;90294,63;91623,44
14/05/2019;91736,48;92528,53;91562,45;92092,44
13/05/2019;94252,49;94252,49;91599,97;91726,54
10/05/2019;94809;94847,83;93234,12;94257,56
09/05/2019;95596,61;95596,61;93883,23;94807,85
08/05/2019;94388,56;96311,89;94388,56;95596,61
07/05/2019;95008,66;95008,66;92749,7;94388,73
06/05/2019;95991,51;95991,51;94539,99;95008,66
03/05/2019;95520,64;96314,61;95520,64;96007,89
02/05/2019;96339,31;96339,31;95311,67;95527,62
30/04/2019;96191,45;96706,71;95613,24;96353,33
29/04/2019;96253,53;97123,09;96003,57;96187,75
26/04/2019;96552,15;96563,2;95620,12;96236,04
25/04/2019;95026,88;96552,03;94212,77;96552,03
24/04/2019;95923,48;95923,48;94163,33;95045,43
23/04/2019;94590,49;96315,4;94590,49;95923,24
22/04/2019;94577,82;95037,9;93720,5;94588,06
18/04/2019;93285,33;95140,29;93285,33;94578,26
17/04/2019;94336,78;95041,78;92337,54;93284,75
16/04/2019;93082,09;95061,95;92878,99;94333,31
15/04/2019;92874,83;93722,86;92697,05;93082,97
12/04/2019;94746,92;94768,18;92516,32;92875
11/04/2019;95953,9;95953,9;94173,36;94754,7
10/04/2019;96291,79;96902,14;95669,58;95953,45
09/04/2019;97366,05;97366,05;95487,57;96291,79
08/04/2019;97110,05;97610,25;96742,91;97369,29
05/04/2019;96319,32;97493,1;96152,08;97108,17
04/04/2019;94502,6;96393,56;94333,95;96313,06
03/04/2019;95392,32;96442,31;94124,4;94491,48
02/04/2019;96062,1;96690,17;94824,93;95386,77
01/04/2019;95422,9;96751,53;95422,9;96054,45
29/03/2019;94401,69;95862,75;94401,69;95414,55
28/03/2019;91900,6;94853,71;91584,26;94388,94
27/03/2019;95297,25;95297,25;91903,4;91903,41
26/03/2019;93668,27;95524,7;93668,27;95306,83
25/03/2019;93735,41;94383,78;93103,15;93662,02
22/03/2019;96724,71;96724,71;93379,64;93735,16
21/03/2019;98041,14;98045,97;95456,28;96729,09
20/03/2019;99588,47;99707,96;97980,93;98041,38
19/03/2019;99990,91;100438,87;99372,87;99588,38
18/03/2019;99141,49;100037,69;99141,43;99993,93
15/03/2019;98604,99;99393,33;98597,33;99136,74
14/03/2019;98904,72;99035,54;97775,83;98604,67
13/03/2019;97831,23;99267,22;97464,1;98903,88
12/03/2019;98038,1;98149,69;97266,94;97828,04
11/03/2019;95384,46;98026,62;95384,46;98026,62
08/03/2019;94340,17;95475,68;93304,76;95364,86
07/03/2019;94216,25;94532,25;93728,95;94340,18
06/03/2019;94603,63;94889,38;93945,46;94216,88
01/03/2019;95584,35;96113,18;94393,59;94603,76
28/02/2019;97307,38;97528,01;95364,39;95584,35
27/02/2019;97602,5;97781,81;96885,98;97307,32
26/02/2019;97242,44;97903,97;97235,48;97602,5
25/02/2019;97881,03;98189,91;97087,23;97239,9
22/02/2019;96928,8;97886,63;96928,8;97885,6
21/02/2019;96546,17;97231,4;95793,1;96932,27
20/02/2019;97661,29;98543,68;96544,81;96544,82
19/02/2019;96512,65;98185,19;96512,65;97659,16
18/02/2019;97526,51;97526,51;96238,89;96509,89
15/02/2019;98015,09;98237,8;97083,07;97525,91
14/02/2019;95842,52;98018,83;94915,48;98015,1
13/02/2019;96168,78;96803,73;95388,93;95842,41
12/02/2019;94419,93;96571,42;94419,93;96168,4
11/02/2019;95351,17;95498,93;93736,67;94412,91
08/02/2019;94401,26;95485,59;93424,29;95343,11
07/02/2019;94654;95641,51;93507,18;94405,59
06/02/2019;98307,91;98307,91;94635,57;94635,58
05/02/2019;98586,8;98586,8;97596,41;98311,21
04/02/2019;97861,27;98588,63;96900,79;98588,63
01/02/2019;97395,48;98043,9;96990,33;97861,28
31/01/2019;96996,45;98405,21;96996,45;97393,75
30/01/2019;95642,96;97106,68;95642,96;96996,21
29/01/2019;95508,28;96751,32;95508,28;95639,34
28/01/2019;97674,04;97936,82;94783,03;95443,88
24/01/2019;96557,73;97677,19;96557,73;97677,2
23/01/2019;95115,8;96575,98;95115,8;96558,43
22/01/2019;96008,44;96069,51;94661,91;95103,38
21/01/2019;96092,61;96092,61;94862,85;96009,78
18/01/2019;95386,26;96395,98;95386,26;96096,75
