Data;Abertura;Máxima;Mínima;Fechamento
04/11/2020;25,4;26,58;25,37;26,44
03/11/2020;25,28;25,39;24,75;24,99
30/10/2020;25,15;25,3;24,16;24,63
29/10/2020;24,4;25,58;23,88;25,36
28/10/2020;24,8;25,24;24,4;24,63
27/10/2020;25,53;25,75;25,12;25,45
26/10/2020;25,8;26,1;25,11;25,47
23/10/2020;26,1;26,21;25,65;25,92
22/10/2020;26,35;26,4;26;26,1
21/10/2020;26;26,8;25,96;26,22
20/10/2020;25,8;26,14;25,65;26,04
19/10/2020;26,11;26,3;25,35;25,69
16/10/2020;25,76;26,05;25,16;25,8
15/10/2020;25,02;26,07;25;25,51
14/10/2020;26,5;27,25;25,04;25,59
13/10/2020;24,88;26,1;24,88;26
09/10/2020;22,98;24,54;22,9;24,54
08/10/2020;22,45;23;22,27;22,97
07/10/2020;22,43;22,69;22,23;22,23
06/10/2020;22,75;22,8;22,21;22,32
05/10/2020;22,25;22,68;22,07;22,54
02/10/2020;22,76;22,95;21,9;22,01
01/10/2020;22,34;22,98;22,3;22,98
30/09/2020;22,03;22,48;21,81;22,3
29/09/2020;21,89;22,21;21,64;21,87
28/09/2020;22,9;23,07;21,75;21,87
25/09/2020;22,1;22,77;21,88;22,66
24/09/2020;21,73;22,45;21,43;22,32
23/09/2020;22,37;22,49;21,55;21,62
22/09/2020;22,4;22,55;21,88;22,37
21/09/2020;21,31;22,29;21,08;22,18
18/09/2020;21,9;22,39;21,51;21,79
17/09/2020;22,15;22,32;21,66;21,77
16/09/2020;22,45;22,73;22,16;22,29
15/09/2020;22,85;23,11;22,27;22,39
14/09/2020;22,3;22,97;22,25;22,57
11/09/2020;22,34;22,6;21,78;21,89
10/09/2020;22,84;23,42;21,75;22,06
09/09/2020;22,26;22,86;22,26;22,8
08/09/2020;21,76;22,38;21,38;21,92
04/09/2020;22,36;22,61;20,87;22,19
03/09/2020;23,45;23,57;21,8;22,13
02/09/2020;23,98;24,11;23,25;23,38
01/09/2020;23,55;24,06;23,42;23,83
31/08/2020;23,63;23,63;23,09;23,3
28/08/2020;23,13;23,64;22,98;23,64
27/08/2020;22,61;23,03;22,61;23
26/08/2020;22,03;22,88;21,99;22,54
25/08/2020;21,98;22,18;21,85;22
24/08/2020;22,05;22,27;21,65;21,77
21/08/2020;21,74;22,18;21,6;21,84
20/08/2020;22,04;22,07;21,54;21,84
19/08/2020;22,25;22,56;22,05;22,43
18/08/2020;21,38;22,45;21;22,38
17/08/2020;20,63;20,87;19,85;20,41
14/08/2020;20,15;20,61;20,05;20,44
