Data;Abertura;Máxima;Mínima;Fechamento
04/11/2020;20,01;20,07;19,27;19,89
03/11/2020;19,51;19,9;19,33;19,65
30/10/2020;19,14;19,54;18,87;18,94
29/10/2020;18,43;19,37;17,74;19,29
28/10/2020;19,35;19,44;18,67;18,67
27/10/2020;20,26;20,37;19,81;19,88
26/10/2020;20,33;20,53;20,03;20,25
23/10/2020;20,94;21,14;20,54;20,57
22/10/2020;20,1;20,84;20,05;20,84
21/10/2020;20,16;20,33;19,83;20,16
20/10/2020;19,67;20,27;19,59;20,18
19/10/2020;19,41;19,94;19,25;19,52
16/10/2020;19,67;19,71;19,32;19,33
15/10/2020;19,62;19,77;19,44;19,75
14/10/2020;20,09;20,37;19,97;19,97
13/10/2020;19,91;20,13;19,73;20,13
09/10/2020;20,34;20,39;19,8;19,8
08/10/2020;20,04;20,59;19,86;20,44
07/10/2020;20;20,05;19,56;19,79
06/10/2020;20,47;20,7;19,93;19,93
05/10/2020;19,36;20,16;19,24;20,03
02/10/2020;19,73;19,74;19,02;19,02
01/10/2020;19,64;20,06;19,13;19,85
30/09/2020;19,5;20,04;19,43;19,61
29/09/2020;19,63;19,86;19,25;19,31
28/09/2020;20,33;20,56;19,63;19,63
25/09/2020;20,15;20,26;19,87;20,13
24/09/2020;20,24;20,71;20,06;20,4
23/09/2020;20,8;20,96;20,2;20,23
22/09/2020;20,96;21,35;20,75;20,8
21/09/2020;21,29;21,46;20,81;20,9
18/09/2020;21,99;22,15;21,55;21,65
17/09/2020;21,51;22,17;21,46;22,15
16/09/2020;21,85;21,99;21,6;21,73
15/09/2020;21,98;22,08;21,55;21,67
14/09/2020;21,94;21,98;21,43;21,68
11/09/2020;22,12;22,26;21,75;21,88
10/09/2020;22,58;22,58;22,11;22,12
09/09/2020;22,49;22,77;22,49;22,73
08/09/2020;22,5;22,5;21,91;22,26
04/09/2020;23;23,03;22,58;22,92
03/09/2020;22,61;23,12;22,57;22,88
02/09/2020;22,93;23,1;22,52;22,8
01/09/2020;22,2;22,89;22,12;22,87
31/08/2020;22,32;22,43;21,89;21,89
28/08/2020;22,25;22,54;22,06;22,54
27/08/2020;22,32;22,47;22,04;22,15
26/08/2020;22,78;22,9;22,04;22,22
25/08/2020;23,09;23,15;22,69;22,87
24/08/2020;22,86;23,13;22,8;22,97
21/08/2020;22,54;22,63;22,35;22,56
20/08/2020;22,52;22,87;22,35;22,73
19/08/2020;22,95;23,32;22,75;22,89
18/08/2020;22,93;23,24;22,77;23,02
17/08/2020;22,68;22,84;22,15;22,6
14/08/2020;22,77;22,98;22,53;22,67
13/08/2020;23,45;23,58;22,71;22,84
12/08/2020;23,36;23,68;23,08;23,48
11/08/2020;23,71;23,88;23,06;23,08
10/08/2020;22,9;23,45;22,64;23,45
07/08/2020;22,86;22,91;22,55;22,79
06/08/2020;23,28;23,53;23,01;23,22
05/08/2020;22,23;23,28;22,23;23,18
04/08/2020;21,46;22,05;21,25;21,78
03/08/2020;22,54;22,55;21,72;21,8
31/07/2020;22,92;23,14;22,16;22,2
30/07/2020;22,92;22,92;22,5;22,82
29/07/2020;23,03;23,25;22,92;23,17
28/07/2020;23,04;23,32;22,8;22,8
27/07/2020;22,87;23,25;22,45;23,2
24/07/2020;22,54;23,06;22,42;22,73
23/07/2020;23,16;23,23;22,54;22,57
22/07/2020;23,3;23,41;23,01;23,05
21/07/2020;23,15;23,6;23,14;23,37
20/07/2020;22,7;22,91;22,52;22,74
17/07/2020;22,83;23,03;22,58;22,74
16/07/2020;23,16;23,28;22,52;22,72
15/07/2020;23,2;23,43;22,85;23,34
14/07/2020;22,13;22,96;21,86;22,9
13/07/2020;22,61;22,65;22,16;22,16
10/07/2020;22,19;22,65;22,06;22,51
09/07/2020;22,78;22,81;22,06;22,14
08/07/2020;22,45;22,76;22,4;22,65
07/07/2020;22,34;22,47;22,14;22,23
06/07/2020;22,39;22,86;22,31;22,51
03/07/2020;21,95;22,18;21,8;21,98
02/07/2020;22,1;22,21;21,86;22,06
01/07/2020;21,75;22,25;21,52;21,71
30/06/2020;21,34;21,8;21,09;21,55
29/06/2020;21,1;21,66;20,93;21,66
26/06/2020;21,21;21,47;20,78;20,84
25/06/2020;20,91;21,47;20,73;21,47
24/06/2020;21,49;21,56;20,71;21
23/06/2020;21,22;22,07;21,14;21,65
22/06/2020;21,6;21,6;20,9;20,95
19/06/2020;22;22,22;21,22;21,47
18/06/2020;21,18;21,77;21,08;21,6
17/06/2020;21,48;21,85;21,15;21,44
16/06/2020;21,56;21,91;21,17;21,37
15/06/2020;19,81;21,09;19,54;20,7
12/06/2020;20,62;21,17;20,1;20,6
10/06/2020;21,89;21,9;21;21,4
09/06/2020;22,03;22,04;21,64;21,72
08/06/2020;22,55;22,59;22,01;22,53
05/06/2020;22,29;23,03;22,06;22,1
04/06/2020;21,39;21,78;21,04;21,43
03/06/2020;21,86;21,91;21,41;21,47
02/06/2020;20,75;21,4;20,6;21,4
01/06/2020;20,15;20,56;20;20,33
29/05/2020;19,55;20,34;19,3;20,34
28/05/2020;19,69;20,08;19,45;19,77
27/05/2020;19,8;19,93;19,15;19,93
26/05/2020;19,98;20,09;19,33;19,67
25/05/2020;19,48;19,56;19,26;19,48
22/05/2020;18,8;18,9;18,35;18,67
21/05/2020;19,5;19,77;19,07;19,19
20/05/2020;19,09;19,44;19,06;19,3
19/05/2020;18,51;18,93;18,41;18,68
18/05/2020;18,1;18,54;17,92;18,54
15/05/2020;17,99;18,19;17,15;17,15
14/05/2020;17,4;17,47;16,72;17,4
13/05/2020;18,26;18,35;17,52;17,59
12/05/2020;18,53;18,83;18,13;18,14
11/05/2020;18,3;18,93;18,11;18,15
08/05/2020;17,74;18,58;17,71;18,48
07/05/2020;17,75;17,87;17,35;17,44
