Data;Abertura;Máxima;Mínima;Fechamento
04/11/2020;42,8;42,84;41,88;42,57
03/11/2020;43,14;43,15;41,97;42,5
30/10/2020;42;42,94;41,3;42,54
29/10/2020;42,12;42,48;41,22;42,15
28/10/2020;43,06;43,29;42,01;42,01
27/10/2020;44,5;44,59;43,49;43,49
26/10/2020;44,04;44,5;43,65;44,2
23/10/2020;43,6;44,38;43,45;43,87
22/10/2020;43,07;44,28;42,85;43,78
21/10/2020;42,99;43,29;42,75;43
20/10/2020;43,31;43,34;42,93;42,93
19/10/2020;43,64;43,78;42,75;43,13
16/10/2020;43,81;43,91;43,33;43,55
15/10/2020;43,69;44,24;43,5;44,24
14/10/2020;43,84;44,38;43,78;44,07
13/10/2020;44;44,23;43,35;43,73
09/10/2020;44,15;44,82;43,96;44,09
08/10/2020;43,79;44,57;43,4;44,3
07/10/2020;43,96;44,17;43,27;43,71
06/10/2020;43,71;44,28;43,47;43,71
05/10/2020;43,67;43,77;42,96;43,47
02/10/2020;43,35;44;43;43,47
01/10/2020;43,41;43,58;42,72;43,5
30/09/2020;43,76;44,1;43,42;43,42
29/09/2020;43,43;43,98;43,24;43,65
28/09/2020;45,16;45,4;43,52;43,67
25/09/2020;45,31;45,39;44,56;44,97
24/09/2020;45,25;45,85;44,48;45,29
23/09/2020;45,75;46,05;44,91;45
22/09/2020;46,13;46,7;45,81;45,99
21/09/2020;45,85;46,24;45,3;46,12
18/09/2020;46,72;46,84;45,75;46,19
17/09/2020;46,4;47,22;46,3;46,73
16/09/2020;47,23;47,26;46,41;46,7
15/09/2020;47,49;47,64;46,9;47,27
14/09/2020;47,47;47,58;47;47,38
11/09/2020;48;48,01;46,84;47,34
10/09/2020;49,63;49,8;47,63;48,01
09/09/2020;48,98;49,95;48,81;49,91
08/09/2020;49,62;50,43;48,33;48,55
04/09/2020;48,6;48,86;47,88;48,43
03/09/2020;48,25;48,98;47,73;48,44
02/09/2020;48,44;48,57;47,6;48,08
01/09/2020;48,1;48,5;47,71;48,39
31/08/2020;48,51;48,78;47,47;47,47
28/08/2020;48,96;49,41;48,7;49,17
27/08/2020;48,89;49,37;48,48;48,65
26/08/2020;49,12;49,46;48,44;49,05
25/08/2020;49,61;49,61;49,03;49,38
24/08/2020;48,74;49,55;48,74;49,55
21/08/2020;49,05;49,09;48,45;48,93
20/08/2020;48,13;49,22;47,65;49,09
19/08/2020;49,17;49,61;48,35;48,94
18/08/2020;49,48;49,89;48,73;49,53
17/08/2020;49,53;49,89;48,43;48,86
14/08/2020;48,67;50,3;48,39;49,73
13/08/2020;49,46;50,08;48,62;48,62
12/08/2020;50,57;50,74;48,92;49,21
