Data;Abertura;Máxima;Mínima;Fechamento
04/11/2020;78,54;82,26;78,04;82,17
03/11/2020;77,99;78,83;76,12;77,32
30/10/2020;80,33;80,74;75,83;75,83
29/10/2020;79,4;81,6;79,32;80,03
28/10/2020;82;82,69;79,05;79,14
27/10/2020;82,97;84,34;82,54;83,24
26/10/2020;81,49;83,99;81,25;82,75
23/10/2020;82,25;83,26;80,64;81,67
22/10/2020;79,65;82,68;78,45;82,11
21/10/2020;87;87,21;78,31;78,4
20/10/2020;82,9;83,95;81,47;83,55
19/10/2020;83,01;83,81;81,11;82,06
16/10/2020;81,06;83,36;80,91;82,05
15/10/2020;79,64;81,28;78,1;80,77
14/10/2020;79,26;80,98;79,26;80,58
13/10/2020;77,88;79,47;77,35;79,15
09/10/2020;74,94;77,18;74,55;76,9
08/10/2020;73,36;75,56;73,32;75,18
07/10/2020;71,78;74,19;71,68;73,17
06/10/2020;70,41;72,29;70,3;71,48
05/10/2020;67,25;70,18;67,12;70,18
02/10/2020;66,48;67,38;65,8;67,05
01/10/2020;65,84;66,9;64,94;66,9
30/09/2020;65,21;65,72;64;65,7
29/09/2020;63;65,06;62,61;64,94
28/09/2020;65,1;66,11;62,59;62,89
25/09/2020;63,78;64,24;63,07;64,22
24/09/2020;62,48;65,09;62,48;64,46
23/09/2020;64,81;65,8;62,47;62,47
22/09/2020;63,6;65,21;63,18;64,59
21/09/2020;61,27;63,75;60,72;63,37
18/09/2020;62,27;63,42;61,73;61,96
17/09/2020;62,32;63,12;61,97;62,79
16/09/2020;64,21;65,22;62,91;62,91
15/09/2020;63,67;64,46;62,91;64,05
14/09/2020;62,97;63,76;62,58;63,3
11/09/2020;63,04;64,39;61,6;62,06
10/09/2020;64,87;64,87;62,39;62,39
09/09/2020;63,48;65,44;63,23;64,9
08/09/2020;64,16;64,16;62,57;62,97
04/09/2020;64,97;65,12;61,84;64,46
03/09/2020;66,67;67,19;63,37;64,4
02/09/2020;67,17;68,1;65,91;66,78
01/09/2020;65,67;67,07;65,16;66,9
31/08/2020;67,09;67,09;64,59;64,59
28/08/2020;66,77;67,95;66,06;67,16
27/08/2020;66,87;67,26;65,49;66,26
26/08/2020;68,26;68,71;65,77;66,4
25/08/2020;66,53;68,51;66,53;68,26
24/08/2020;67,73;68,57;66,22;66,44
21/08/2020;67,08;67,58;66,07;67,57
20/08/2020;64,96;67,91;64,18;67,19
19/08/2020;67,98;68,42;65,73;65,85
18/08/2020;69,26;69,3;67,29;67,67
17/08/2020;68,96;69,56;67,12;67,94
14/08/2020;68,94;70,4;68,18;69,14
13/08/2020;68,47;70,89;68,37;68,87
12/08/2020;68,07;68,42;66,08;67,97
11/08/2020;69,44;69,9;67,34;67,34
10/08/2020;68,51;69,33;67,26;68,96
07/08/2020;69;70,16;68,15;68,42
06/08/2020;68,56;69,86;68,28;69,8
05/08/2020;67,86;69,25;67,52;68,17
04/08/2020;65,87;67,5;65,47;66,76
03/08/2020;67,33;67,5;66,07;66,54
31/07/2020;68,36;68,57;66,97;67,32
30/07/2020;66,1;67,97;64,57;67,97
29/07/2020;67,73;68,02;65,97;66,95
28/07/2020;69,77;69,82;67,07;67,16
27/07/2020;67,78;70,99;67,7;69,92
24/07/2020;66,65;67,66;65,26;66,55
23/07/2020;67,84;69,64;66,45;66,82
22/07/2020;62,55;68,74;62,36;68,04
21/07/2020;60,36;60,89;58,87;59,74
20/07/2020;58,26;60,02;58,06;60,02
17/07/2020;54,9;58,32;54,57;57,95
16/07/2020;54,01;55,59;53,54;54,42
15/07/2020;54,41;54,57;53,95;54,22
14/07/2020;54,37;55,45;53,69;53,86
13/07/2020;54,67;55,76;54,47;54,81
10/07/2020;54,46;55,09;53,8;54,57
09/07/2020;54,49;54,64;53,99;54,33
08/07/2020;53,87;54,87;53,67;54,17
07/07/2020;53,15;54,01;52,03;53,78
06/07/2020;54,87;54,87;52,91;53,07
03/07/2020;53,46;54,14;53,08;53,87
02/07/2020;53,18;54,12;52,89;53,44
01/07/2020;50,68;52,47;50,68;52,47
30/06/2020;49,57;51,36;49,43;50,49
29/06/2020;50,29;50,6;49,09;49,8
26/06/2020;49,04;51,02;48,77;49,85
25/06/2020;45,96;49,35;45,92;49,07
24/06/2020;45,61;46,6;45,09;45,91
23/06/2020;46,16;46,65;45,54;45,98
22/06/2020;46,16;46,56;45,38;45,46
19/06/2020;46,66;46,86;45,85;46,07
18/06/2020;46,02;46,53;45,6;45,99
17/06/2020;44,92;46,86;44,92;46,02
16/06/2020;45,06;46,03;44,63;44,63
15/06/2020;42,87;44,79;42,87;44,14
12/06/2020;43,42;44,5;42,57;44,12
10/06/2020;45,79;46,5;44,34;44,85
09/06/2020;44,6;45,94;43,72;45,67
08/06/2020;44,76;46,14;44,13;45,66
05/06/2020;44,37;45,29;43,92;44,2
04/06/2020;41,97;43,73;41,15;43,67
03/06/2020;43,17;43,67;42,18;42,47
02/06/2020;42,29;42,67;41,68;42,29
01/06/2020;41,76;42,87;41,68;42,03
29/05/2020;40,08;41,7;39,49;41,7
28/05/2020;40,25;41,03;40,03;40,56
27/05/2020;40,72;40,86;39,48;40,46
26/05/2020;38,69;40,43;38,38;40,3
25/05/2020;38;38,43;37,51;37,93
22/05/2020;37,3;38,31;36,59;37,13
21/05/2020;37,72;37,94;36,86;37,33
20/05/2020;36,94;38,55;36,94;37,53
19/05/2020;36,61;37,89;36,22;36,81
18/05/2020;37,28;37,37;36,47;36,51
15/05/2020;36,97;37,3;35,89;36,3
14/05/2020;37,69;37,95;36,21;37,24
13/05/2020;37,8;38,44;37,33;37,89
12/05/2020;38,87;39,26;37,04;37,39
11/05/2020;38,19;39,12;38,04;38,71
08/05/2020;39,88;39,98;37,89;38,13
07/05/2020;39,11;40,77;38,6;38,97
06/05/2020;38,94;39,11;37,59;38,71
05/05/2020;40,18;40,6;38,71;38,89
04/05/2020;38,86;39,87;38,1;39,72
30/04/2020;40,53;41,17;39,08;39,82
29/04/2020;43,08;43,92;41,28;41,28
28/04/2020;41,87;42,17;40,28;41,46
27/04/2020;39,2;40,94;38,71;40,48
24/04/2020;38,56;39,32;35,14;38,59
23/04/2020;41,43;41,82;38,79;39,47
22/04/2020;39,18;41,08;39,07;40,8
20/04/2020;37,57;39,44;36,83;38,98
17/04/2020;38,8;38,86;37,67;38,34
16/04/2020;38,06;38,79;37,62;37,9
15/04/2020;37,99;38,93;37,89;37,89
14/04/2020;39,89;40,36;38,78;38,78
13/04/2020;38,03;39,38;37,49;39,14
09/04/2020;40,42;41,28;38,08;38,18
08/04/2020;37,39;39,96;37,39;39,87
07/04/2020;35,39;37,58;35,14;37,19
06/04/2020;34,98;34,99;32,6;33,18
03/04/2020;34,15;34,38;31,33;32,79
02/04/2020;33,25;35,03;32,66;34
01/04/2020;32,3;33,37;31,45;32,33
31/03/2020;33,99;35,33;32,86;33,47
30/03/2020;35,5;37,16;33,4;33,92
27/03/2020;36,39;36,39;34,8;35,25
26/03/2020;37,69;38,88;36,36;37,84
25/03/2020;36,64;38,54;36,58;37,25
24/03/2020;38,77;40,08;35,95;35,95
23/03/2020;33,8;37,17;31,37;35,09
20/03/2020;31,03;34,87;30,43;32,25
19/03/2020;26,13;30,26;25,67;28,62
18/03/2020;25,8;28,28;25,01;26,37
17/03/2020;28,4;29,66;27,4;28,57
16/03/2020;31,56;32,06;27,1;27,31
13/03/2020;37,36;38,46;31,78;34,4
12/03/2020;35,86;35,93;32,41;32,87
11/03/2020;40,69;41,78;36,87;39,05
10/03/2020;41,84;42,99;40,25;41,75
09/03/2020;39,86;41,33;38,87;39,6
06/03/2020;43,84;44,94;43,19;43,85
05/03/2020;48,01;48,52;45,43;46,52
04/03/2020;49,31;49,61;47,66;48,28
03/03/2020;47,21;49,38;46,86;47,74
02/03/2020;43,73;46,81;43,1;46,81
28/02/2020;43,58;44,51;41,49;42,99
27/02/2020;46,63;46,63;43,52;43,8
26/02/2020;46,82;48,28;46,19;46,65
21/02/2020;47,09;49,77;46,66;49,44
20/02/2020;47,71;49,25;47,15;47,15
19/02/2020;45,67;48,93;45,67;48,47
18/02/2020;45,27;45,37;44,18;44,38
17/02/2020;45,32;46,25;44,62;45,45
14/02/2020;45,43;47,16;45,24;45,24
13/02/2020;43,98;45,36;42,89;45,24
12/02/2020;43,09;44,86;43,07;44,24
11/02/2020;41,73;42,75;41,45;42,74
10/02/2020;40,79;42;40,03;41,23
